序号,名称（备注形式）,规格,材质,侧板厚度mm,"底板/横档厚度mm
mm",盖板厚度mm,数量,单位,本体单价（含税）,盖板单价（含税）,"本体及盖板合价
（含税）","合计
（含税）",品牌,执行标准（投标单位自填）,备注
52,模压型托盘式桥架PVDF,300*150,彩钢,1,1,0.6,59.55,m,41.15,14.69,55.839999999999996,3325.2719999999995,庞大电气,,
53,模压型托盘式桥架PVDF,400*150,彩钢,1,1,0.6,251.33,m,47.59,24.29,71.88,18065.6004,庞大电气,,
54,模压型托盘式桥架PVDF,500*150,彩钢,1.2,1.2,0.6,78.85,m,61.17,29.94,91.11,7184.023499999999,庞大电气,,
55,模压型托盘式桥架PVDF,600*200,彩钢,1.2,1.2,0.6,15.79,m,80.17,35.58,115.75,1827.6924999999999,庞大电气,,
56,热浸镀锌桥架,100x70,热浸镀锌,1.2,1.2,1,30,m,29.07,9.22,38.29,1148.7,庞大电气,,
57,热浸镀锌桥架,150x100,热浸镀锌,1.2,1.2,1,30,m,41.37,13.05,54.42,1632.6000000000001,庞大电气,,
58,热浸镀锌桥架,200*150,热浸镀锌,1.2,1.2,1,269.83,m,57.91,16.89,74.8,20183.284,庞大电气,,
59,热浸镀锌桥架,300*150,热浸镀锌,1.2,1.2,1,177.89,m,69.74,24.57,94.31,16776.8059,庞大电气,,
60,热浸镀锌桥架,400*150,热浸镀锌,1.5,1.5,1.2,127.09,m,93.57,36.47,130.04,16526.7836,庞大电气,,
61,热浸镀锌桥架,500*150,热浸镀锌,1.5,1.5,1.2,154.9,m,107.14,45.15,152.29,23589.721,庞大电气,,
62,热浸镀锌桥架,600*200,热浸镀锌,2,2,1.5,7.59,m,164.56,61.8,226.36,1718.0724,庞大电气,,
63,热浸镀锌桥架（消防）,200*150,热浸镀锌,1.2,1.2,1,333.15,m,64.22,18.97,83.19,27714.748499999998,庞大电气,,
64,热浸镀锌桥架（消防）,300*150,热浸镀锌,1.2,1.2,1,121.44,m,77.35,27.58,104.92999999999999,12742.6992,庞大电气,,
65,热浸镀锌桥架（消防）,400*150,热浸镀锌,1.5,1.5,1.2,99.09,m,102.48,40.43,142.91,14160.9519,庞大电气,,
66,热浸镀锌桥架（消防）,500*150,热浸镀锌,1.5,1.5,1.2,3.3,m,117.35,50.04,167.39,552.387,庞大电气,,
67,热浸镀锌桥架（消防）,600*200,热浸镀锌,2,2,1.5,132.06,m,177.22,67.63,244.85,32334.891,庞大电气,,
