序号,项目名称,规格型号,单位,数量,"单价（元）
不含税","金额（元）
不含税",税率,税额（元）,价税合计（元）,位置及用途,品牌,材质,备注
1,不锈钢水箱,SUS304（9*2+18*5）*2m 120M3,座,1,104336.28,104336.28,0.13,13563.7164,117899.9964,,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
2,不锈钢水箱,SUS304（1*6+2.5*8）*3m 56M3,座,1,41415.93,41415.93,0.13,5384.0709,46800.0009,,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
3,不锈钢水箱,SUS304 4*3*2m 24M3,座,1,20619.47,20619.47,0.13,2680.5311,23300.0011,,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
4,不锈钢水箱,SUS304 23*7.5*3.5m 470M3,座,1,231858.41,231858.41,0.13,30141.5933,262000.0033,,晔达,SUS304,2025.8.4，无预付款，货到现场验收合格2个月后支付送货金额70%，竣工验收付至80%，结算完成移交档案后付至95%，质保5%，两年
