设备名称,型号规格,流量(m3/h),扬程(m),转速（r/min）,功率   (kW),材质,,,,,,,,,,,,,配套零件品牌,,,数量（台）        ,税率,单价（元）,总 价（元）,品牌,备   注
卧式端吸泵,ETB 125-100-400,194,43,1450,37,铸铁,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,2,23893.8053097345,27000,54000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式端吸泵,ETB 125-100-315 ,166,26.1,1450,18.5,铸铁,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,20353.982300885,23000,69000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
单级离心泵（管道泵）,ETL 065-065-160 ,53,23,2900,7.5,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,无需,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,13274.3362831858,15000,45000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
立式端吸泵（管道泵）,ETL 065-065-160 ,50,25,2900,7.5,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,无需,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,13274.3362831858,15000,45000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式双吸泵,Omega125-290 ,302,28,2900,45,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸铁,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,2,32743.3628318584,37000,74000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式双吸泵,Omega200-320B,692,28,1450,90,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸铁,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,66371.6814159292,75000,225000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
立式端吸泵（KSB管道泵）,ETL 032-032-160 ,25,32,2900,4,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,无需,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,7964.60176991151,9000,27000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
立式端吸泵（KSB管道泵）,ETL 065-065-160 ,60,25,2900,7.5,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,无需,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,9734.51327433628,11000,33000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
立式端吸泵（KSB管道泵）,ETL 050-050-160  ,25,25,2900,4,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,无需,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",ABB IE4,KSB,3,8407.0796460177,9500,28500,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式泵，放置雨水收集池内,ETB 032-032-160  ,20,15,2900,3,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,槽钢底座,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",KSB IE4,KSB,2,5309.73451327434,6000,12000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
立式泵（KSB管道泵）,ETL 032-032-160  ,20,30,2900,4,铸铁,260号铸铁,铸铁,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,无需,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",KSB IE4,KSB,2,6637.16814159292,7500,15000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
立式泵,MovitecVCF015/03,15,30,2900,3,不锈钢,260号铸铁,不锈钢,含12-13%铬的不锈钢,碳化钨-巴氏合金及不锈钢弹簧,不锈钢,可替换式，未经硬化处理的含12-13%铬的316不锈钢,无需,铸钢,乙丙橡胶,铸铁,IP55,二级,"NSK,NTN,SKF",KSB IE4,KSB,2,12831.8584070796,14500,29000,KSB,2025.12.24，货到现场一个月内付至货款的95%（其中50%：一建6个月商票；50%：现金电汇）。全部货物送至现场后，供方开具到货总金额5%的两年期银行质量保函，买方支付至结算金额的100%。
卧式单级双吸离心泵,SCH200/320-55/4,509,29,1450,55,铸铁,铸铁,SS304,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,青铜,不锈钢,IP55/F,GB2,NSK,WILO,WILO,5,0.13,43461,217305,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
卧式单级双吸离心泵,SCH200/320-55/4,590,23,1450,55,铸铁,铸铁,SS304,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,青铜,不锈钢,IP55/F,GB2,NSK,WILO,WILO,5,0.13,43461,217305,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
卧式单级离心泵,N 125/250-18.5/4,253,20,1450,18.5,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,无,不锈钢,IP55/F,GB2,NSK,WILO,WILO,4,0.13,17674,70696,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
卧式单级离心泵,N 80/200-5.5/4,90,15,1450,5.5,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,碳钢,碳钢,无,不锈钢,IP55/F,GB2,NSK,WILO,WILO,3,0.13,12119,36357,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 125/315-30/4,220,30,1450,30,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,30731,61462,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 125/315-30/4,220,30,1450,30,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,30731,61462,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 100/295-15/4,100,30,1450,15,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,20094,40188,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 100/295-15/4,100,30,1450,15,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,20094,40188,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
空调供暖循环水泵,I 125/295-18.5/4,200,25,1450,18.5,铸铁,铸铁,铸铁,不锈钢,碳化硅-石墨,不锈钢,无,无,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,2,0.13,24502,49004,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
商业mall生活给水（主泵）,MVI7004/2,75,65,2900,18.5,不锈钢,不锈钢,不锈钢,不锈钢,碳化硅-石墨,不锈钢,无,铸铁,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,4,0.13,32000,128000,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
商业mall生活给水（辅泵）,Helix FIRST V 2206,25,67,2900,7.5,不锈钢,不锈钢,不锈钢,不锈钢,碳化硅-石墨,不锈钢,无,铸铁,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,1,0.13,12000,12000,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
街商生活给水（主泵）,MVI7004/2,75,65,2900,18.5,不锈钢,不锈钢,不锈钢,不锈钢,碳化硅-石墨,不锈钢,无,铸铁,碳钢,无,不锈钢,IP55/F,GB2,无,WILO,WILO,4,0.13,32000,128000,威乐,无预付款，货到现场验收合格2月后付至送货金额80%，竣工验收后付至90%，结算移交档案后付至95%，5%质保2年，供方接受以商票形式支付货款
