箱体报价表,,,,,,,
外型尺寸W*H*D,背板厚度,箱门厚度及层数,侧板厚度,表面处理,单价,备注（室内室外型、IP等级）,
48,塑壳断路器,NSX100N MA 25 3P3D F MX+OF,4,只,1344.25,0.54,施耐德
49,塑壳断路器,NSX100N MA 32 3P3D F,26,只,856.21,0.54,施耐德
50,塑壳断路器,NSX100N MA 32 3P3D F MX+OF,6,只,1344.25,0.54,施耐德
51,塑壳断路器,NSX100N MA 40 3P3D F,19,只,856.21,0.54,施耐德
52,塑壳断路器,NSX100N MA 40 3P3D F MX+OF,2,只,1344.25,0.54,施耐德
53,塑壳断路器,NSX100N MA 50 3P3D F,8,只,856.21,0.54,施耐德
54,塑壳断路器,NSX100N MA 6.3 3P3D F,6,只,856.21,0.54,施耐德
55,塑壳断路器,NSX100N MA 63 3P3D F,8,只,856.21,0.54,施耐德
56,塑壳断路器,NSX100N MA 80 3P3D F,16,只,856.21,0.54,施耐德
57,塑壳断路器,NSX100N TMD 100 3P3D F,7,只,1024.28,0.54,施耐德
58,塑壳断路器,NSX100N TMD 100 3P3D F MX+OF,9,只,1512.32,0.54,施耐德
59,塑壳断路器,NSX100N TMD 20 4P3D F,6,只,1404.69,0.54,施耐德
60,塑壳断路器,NSX100N TMD 25 3P3D F,1,只,1024.28,0.54,施耐德
61,塑壳断路器,NSX100N TMD 25 3P3D F MX+OF,12,只,1512.32,0.54,施耐德
62,塑壳断路器,NSX100N TMD 25 4P3D F,8,只,1404.69,0.54,施耐德
63,塑壳断路器,NSX100N TMD 32 3P3D F,5,只,1024.28,0.54,施耐德
64,塑壳断路器,NSX100N TMD 32 3P3D F MX+OF,3,只,1512.32,0.54,施耐德
65,塑壳断路器,NSX100N TMD 40 3P3D F,4,只,1024.28,0.54,施耐德
66,塑壳断路器,NSX100N TMD 40 3P3D F MX+OF,12,只,1512.32,0.54,施耐德
67,塑壳断路器,NSX100N TMD 40 4P3D F,1,只,1404.69,0.54,施耐德
68,塑壳断路器,NSX100N TMD 50 3P3D F MX+OF,10,只,1512.32,0.54,施耐德
69,塑壳断路器,NSX100N TMD 63 3P3D F,4,只,1024.28,0.54,施耐德
70,塑壳断路器,NSX100N TMD 63 3P3D F MX+OF,7,只,1512.32,0.54,施耐德
71,塑壳断路器,NSX100N TMD 80 3P3D F,4,只,1024.28,0.54,施耐德
72,塑壳断路器,NSX100N TMD 80 3P3D F MX+OF,5,只,1512.32,0.54,施耐德
73,塑壳断路器,NSX160N MA 150 3P3D F,2,只,1412.25,0.54,施耐德
74,塑壳断路器,NSX160N TM-D 125 3P+升级型漏电模块 220-440V,5,只,4173.68,0.54,施耐德
75,塑壳断路器,NSX160N TMD 125 3P3D F MX+OF,1,只,1848.1,0.54,施耐德
76,塑壳断路器,NSX160N TMD 160 3P3D F,8,只,1642.67,0.54,施耐德
77,塑壳断路器,NSX160N TMD 160 3P3D F MX+OF,9,只,2130.71,0.54,施耐德
78,塑壳断路器,NSX250N MA 220 3P3D F,9,只,2020.88,0.54,施耐德
79,塑壳断路器,NSX250N TMD 200 3P3D F MX+OF,2,只,2803.32,0.54,施耐德
80,塑壳断路器,NSX250N TMD 250 3P3D F,6,只,2315.28,0.54,施耐德
81,塑壳断路器,NSX250N TMD 250 3P3D FMX+OF,3,只,2803.32,0.54,施耐德
82,塑壳断路器,NSX400N MIC 1.3M 320 3P F,1,只,2965.56,0.54,施耐德
83,塑壳断路器,NSX400N MIC 2.3 400 3P F,2,只,3474.03,0.54,施耐德
84,塑壳断路器,NSX400N TMD 400 3P3D F MX+OF,1,只,3525.62,0.54,施耐德
85,塑壳断路器,NSX630H MIC 6.3E 630 3P F,2,只,13970.21,0.54,施耐德
86,塑壳断路器,NSX630N MIC 2.3 630 3P F MX+OF,1,只,6438.35,0.54,施耐德
87,微型断路器,iC65N-C10A/1P MX+OF,66,只,634.4,0.45,施耐德
88,微型断路器,iC65N-C16A/1P MX+OF,2,只,634.4,0.45,施耐德
89,微型断路器,iC65N-C32A/1P MX+OF,42,只,639.81,0.45,施耐德
90,微型断路器,iC65N-S 16A/3P,10,只,171,0.45,施耐德
91,微型断路器,iC65N-S 2P C10A+ELE 30mA A,211,只,283.11,0.45,施耐德
92,微型断路器,iC65N-S 2P C16A+ELE 300mA A,55,只,292.31,0.45,施耐德
93,微型断路器,iC65N-S 2P C16A+ELE 30mA A,616,只,283.11,0.45,施耐德
94,微型断路器,iC65N-S 2P C20A+ELE 30mA A,18,只,283.11,0.45,施耐德
95,微型断路器,iC65N-S 2P C40A+ELE 30mA A,12,只,320.29,0.45,施耐德
