序号,名称,母线类型,规格型号,铜牌厚度及开关型号,接地方式,防护等级,外壳材质,品牌,系列,单位,数量,不含税单价（元）,税率,含税单价（元）,含税合价（元）,备注
1,密集型母线槽-1000A,三相五线制,XLC-III,4*（5mm*62mm）+1*（2.5mm*62mm）,1/2铜牌接地,IP54,铝合金,西门子,,m,65,1578.7610619469028,0.13,1784,115960,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
2,密集型母线槽-1250A,三相五线制,XLC-III,4*（5mm*85mm）+1*（2.5mm*85mm）,1/2铜牌接地,IP54,铝合金,西门子,,m,440,2092.0353982300885,0.13,2364,1040160,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
3,密集型母线槽-1600A,三相五线制,XLC-III,4*（5mm*115mm）+1*（2.5mm*115mm）,1/2铜牌接地,IP54,铝合金,西门子,,m,766,2773.4513274336286,0.13,3134,2400644,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
4,密集型母线槽-2000A,三相五线制,XLC-III,4*（5mm*151mm）+1*（2.5mm*151mm）,1/2铜牌接地,IP54,铝合金,西门子,,m,1025,3596.460176991151,0.13,4064,4165600,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
5,母线槽插接箱-MCCB 200A/3P,三相五线制,XLC-III,3VA1M250/3P,1/2铜牌接地,IP54,钢板,西门子,,只,2,2234.5132743362833,0.13,2525,5050,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
6,母线槽插接箱-MCCB 250A/3P,三相五线制,XLC-III,3VA1M250/3P,1/2铜牌接地,IP54,钢板,西门子,,只,1,2234.5132743362833,0.13,2525,2525,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
7,母线槽插接箱-MCCB 400A/3P,三相五线制,XLC-III,3VA1M400/3P,1/2铜牌接地,IP54,钢板,西门子,,只,45,3401.769911504425,0.13,3844,172980,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
8,母线槽插接箱-MCCB 400A/3P+MX/OF,三相五线制,XLC-III,3VA1M400/3P,1/2铜牌接地,IP54,钢板,西门子,,只,19,3969.0265486725666,0.13,4485,85215,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
9,母线槽插接箱-MCCB 500A/3P+MX/OF,三相五线制,XLC-III,3VA1M630/3P,1/2铜牌接地,IP54,钢板,西门子,,只,1,6292.035398230089,0.13,7110,7110,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
10,始端箱-1000A,三相五线制,XLC-III,,1/2铜牌接地,IP54,钢板,西门子,,只,2,3980.530973451328,0.13,4498,8996,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
11,始端箱-1250A,三相五线制,XLC-III,,1/2铜牌接地,IP54,钢板,西门子,,只,4,3980.530973451328,0.13,4498,17992,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
12,始端箱-1600A,三相五线制,XLC-III,,1/2铜牌接地,IP54,钢板,西门子,,只,12,6235.398230088496,0.13,7046,84552,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
13,始端箱-2000A,三相五线制,XLC-III,,1/2铜牌接地,IP54,钢板,西门子,,只,8,6992.920353982301,0.13,7902,63216,2025.12.22；铜价参考：80870元/吨，含弯头，始端，连接器，变容节，膨胀节，材料费以直线段计入延长米。每批次30%预付款，货到现场验收合格两月内付至送货金额80%，竣工验收合格付至100%，5%银行质量保函，质保2年
