子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
不锈钢水箱,10,92626.0,73300.0,77393.72,0.836,19500.0,262000.0,22920.0,169030.0,1.254
消毒器,3,10166.67,12000.0,3888.87,0.383,5700.0,12800.0,5700.0,12800.0,0.574
污水集水箱,1,34800.0,34800.0,0.0,0.0,34800.0,34800.0,34800.0,34800.0,0.05
