子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
附件,360,253.38,190.0,201.25,0.794,58.0,1545.0,70.0,500.0,1.191
潜水泵,114,2395.97,2005.0,1737.47,0.725,740.0,15532.0,1220.0,3696.0,1.088
控制柜,63,1719.49,1405.0,905.21,0.526,540.0,4800.0,868.0,3000.0,0.789
其他,20,1991.8,60.0,5301.4,2.662,60.0,22276.0,60.0,6700.0,3.993
