子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
管件,313,75.04,31.66,120.94,1.612,3.14,997.26,9.2,134.75,2.418
其他,240,66.5,32.46,101.25,1.523,1.74,737.6,7.31,205.27,2.284
304不锈钢管,14,101.65,56.87,127.43,1.254,5.5,437.3,9.05,270.33,1.881
连接件,8,242.29,155.06,241.61,0.997,20.2,606.08,31.37,601.08,1.496
316/316L不锈钢管,4,120.2,108.88,56.4,0.469,67.79,195.26,67.79,195.26,0.704
不锈钢雨水管,1,217.55,217.55,0.0,0.0,217.55,217.55,217.55,217.55,0.05
