子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
卧式风机盘管,44,1119.93,989.5,448.85,0.401,470.0,2230.0,625.0,1842.9,0.602
其他,31,361.58,150.0,494.58,1.368,4.0,1751.0,10.0,1165.0,2.052
风机盘管,17,1144.29,1175.0,368.44,0.322,594.0,1850.0,687.4,1539.0,0.483
