子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
密集型母线槽,46,1793.28,1621.25,963.78,0.537,497.78,4769.0,797.33,2878.19,0.806
其他,39,2353.05,1144.61,2375.15,1.009,132.48,8415.0,216.26,5324.12,1.513
插接箱,38,2676.03,2505.2,1404.54,0.525,136.0,7110.0,1380.2,4746.0,0.788
母线槽,12,1184.52,489.51,1172.05,0.989,25.0,3572.34,71.45,2800.54,1.484
耐火型母线槽,3,2582.85,2514.0,1205.75,0.467,1413.0,3821.54,1413.0,3821.54,0.7
