子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
其他,3045,3079.22,98.0,13708.92,4.452,1.0,618667.75,1.0,8539.82,6.678
动力配电箱,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.05
照明配电箱,7,1704.57,1.0,2833.74,1.662,1.0,5851.0,1.0,5851.0,2.494
配电箱,1380,2824.42,193.5,5177.84,1.833,1.0,51688.0,1.0,6358.8,2.75
