子类,count,mean,median,std,cv,min,max,p10,p90,suggested_threshold
卧式离心泵,25,27723.44,23446.0,16450.01,0.593,6000.0,75000.0,10291.4,44384.4,0.89
离心泵,15,18716.8,15000.0,9224.89,0.493,6000.0,32000.0,8910.0,31492.4,0.74
立式离心泵,6,11083.33,10250.0,3056.41,0.276,7500.0,15000.0,8250.0,14750.0,0.414
